Disease,Anatomy,Surgery,Medicine,Composition,Cause,Complication,Diagnosis,Precaution,Riskfactor,Symptom
Insomnia,,,antihistamine,"Brompheniramine, Cetirizine, Chlorpheniramine, Brompheniramine (Dimetane)",,,,"Avoid caffeine, alcohol late in the day, exercise regularly, Make your sleep place comfortable","Older age, being woman, during menopause, menstrual cycle or pregnancy,stress,mental health disorder",
Internal injuries,,,,,,,Computed tomography (CT scan),,,
Iritis,,,steroid,"17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring",,,,"Protecting the eye from injury, avoid exposure of eye to infections, foods rich in vitamins C and E","Develop a sexually transmitted infection, Smoke tobacco, Have a specific genetic alteration",
Jaundice,,,"consult doctor, ",,,,", Liver function test","drink plenty of water,consume milk thistle,eat fruits and high fibrous food,medication, ","Premature birth, Significant bruising during birth, Blood type, Breast-feeding, Race, ","itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain, "
Kidney diseases,,,,,,,"Kidney function test, Urinalysis",,,
Kidney function,,,,,,,"Inulin clearance, Phenolsulfonphthalein test",,,
Kidney function evaluation,,,,,,,Rubin's test,,,
Kidney stones,,,", diuretic",", hydrochlorothiazide, chlorthalidone, indapamide",,,"Uroscopy, , Urography ",", Stay hydrated, Eat more calcium-rich foods and Eat less sodium, oxalate-rich foods, animal protein",", Dehydration, family history, Digestive diseases, obesity, diet high in protein, sodium and sugar",
Leprosy,,,"antibiotics, isoniazid, steroid","17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring",,,,Early diagnosis and treatment of people who are infected.,"Living in an endemic region, contact of person suffering from leprosy",
Leukemia,,,,,,,"Blood analysis, Bone marrow aspiration",,,
Liver diseases (such as Hepatitis,,,,,,,Liver function test,,,
Liver function,,,,,,,Thymol turbidity,,,
Lung cancer,,,,,,,Bronchoscopy,,,
Lung cancer staging,,,,,,,Mediastinoscopy,,,
Lung diseases (such as Chronic obstructive pulmonary disease - COPD),,,,,,,Lung ventilation,,,
Lung function assessment,,,,,,,Pulmonary function test,,,
Lung infections,,,,,,,Bronchoscopy,,,
Lupus,,,"steroid, ","17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring, ",,,", Cephalin-cholesterol flocculation","Limit direct sunlight, Get enough sleep, manage stress, Stay away from people who are sick, ","Men, Blacks,Latinos and Asian Americans are more likely to have lupus nephritis than whites, ",
Lyme disease,,,"antibiotics, isoniazid, penicillin","Penicillin 30, VK, Penicillin V, Potassium Tablets USP 250 mg",,,,"Use insect repellents, tick-proof your yard, Check your clothing, your children and pets for ticks","Spending time in wooded or grassy areas, Not removing ticks promptly or properly",
Lymph node evaluation,,,,,,,Mediastinoscopy,,,
Lymphoma,,,,,,,Bone marrow aspiration,,,
Malabsorption syndromes,,,,,,,Malabsorption test,,,
Malaria,,,"artemisinin-based combination therapies, chloroquine phosphate","lumefantrine, mefloquine, amodiaquine, sulfadoxine, piperaquine, chlorproguanil, dapsone, 500 mg chloroquine phosphate USP, 300 mg chloroquine base","Mosquito transmission, mother to unborn child, blood transfusions, Transmission of parasite","block small blood vessels in brain, cerebral malaria, swelling of brain, brain damage, seizures, coma, Breathing problems, Organ failure, Anemia, Low blood sugar",,"Avoid oily food, avoid non veg food, keep mosquitos out","Availability of mosquito breeding site or stagnant water near the home, staying outdoors overnight","chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain"
Masses or abnormalities detection,,,,,,,Palpation test,,,
Measles,"back, chest, ears, face, feet, intestines, skin","Nuss procedure, Otoplasty, Stapedectomy, Mastoidectomy, Auriculectomy, Myringotomy, V-plasty, VY-plasty, W-plasty, Z-plasty, Escharotomy, Skin biopsy",analgesic,"Acetaminophen, salicylates, opioid drugs, morphine, oxycodone","virus, infectious droplets, someone with measles coughs, sneezes or talks, putting your fingers in your mouth or nose, rubbing your eyes, touching the infected surface","Diarrhea and vomiting, Ear infection, Bronchitis, laryngitis, croup, Pneumonia, Encephalitis, Pregnancy problems",,"Practice good hand hygiene, Don t share personal items with people who may be ill, get vaccinated","Being unvaccinated, Having a vitamin A deficiency, travelling to places where measles is common",
Meningitis,,,"antibiotics, isoniazid, penicillin, ","Penicillin 30, VK, Penicillin V, Potassium Tablets USP 250 mg, ","Viral infections, Streptococcus pneumonia, Neisseria meningitidis, Haemophilus influenzae, Listeria monocytogenes, ","Hearing loss, Memory problems, Learning disabilities, Brain damage, Trouble walking, Seizures, Kidney failure, Shock, Death, ",", Lumbar puncture","Cover your mouth when coughing or sneezing, Clean your hands before eating, do not contact ill person, ","Skipping vaccinations, pregnant women, weak immune system, AIDS, alcoholism, diabetes, using drugs, ",
Metabolic disorders,,,,,,,"Magnetic resonance spectroscopy, Enzyme analysis",,,
Migraine,,,"analgesic, antipsychotics, stimulant","Acetaminophen, salicylates, opioid drugs, morphine, oxycodone, prochlorperazine, droperidol, haloperidol, chlorpromazine, methylxanthines, methylated purines, cocaine, nicotine",,,,"meditation,reduce stress,use polaroid glasses in sun,consult doctor","Skipping meals, Too much or too little sleep, Stress, Smoking, Depression, anxiety, excessive alcohol","acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances"
Multiple sclerosis,,,", immunosuppressive drug, steroid",", calcineurin inhibitors, interleukin inhibitors, selective immunosuppressants, TNF alfa inhibitors, 17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring",,,"Magnetic resonance imaging (MRI), Lumbar puncture, ",", No precaution",", Family history, being woman, Smoking, Vitamin D deficiency, diabetes, inflammatory bowel disease",
Mumps,"respiratory passages, salivary glands, testes",,analgesic,"Acetaminophen, salicylates, opioid drugs, morphine, oxycodone",,,,"Cover your mouth when coughing or sneezing, Clean your hands before eating, do not contact ill person","Being unvaccinated, travelling to places where mumps is common, contact of ill person",
Muscle diseases,,,,,,,Electromyography (EMG),,,
Muscular dystrophy,,,steroid,"17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring",,,,"Exercise, Braces, Mobility aids, Breathing assistance, swimming",Family history,
Nasal polyps,,,,,,,Nasopharyngolaryngoscopy,,,
Nerve disorders,,,,,,,Electromyography (EMG),,,
Neural tube defects,,,,,,,Amniocentesis,,,
Organ enlargement,,,,,,,Percussion,,,
Osteoarthristis,,,,,,,,,,"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking"
Osteoarthritis,,,analgesic,"Acetaminophen, salicylates, opioid drugs, morphine, oxycodone",,,,"acetaminophen, salt baths, Keep a healthy body weight, Prevent injury to your joints","Older age, overweight, being a woman, Joint injuries, Bone deformities, certain metabolic diseases",
PCOS,,,metformin,"a refined herbal medicine derived from a flower called French lilac, rosiglitazone and pioglitazone (Actos)",,,,"Maintain a healthy weight, Limit carbohydrates, Be active, Exercise regularly","Diabetes, High blood pressure, Unhealthy cholesterol, Depression and anxiety",
Pancreatic diseases,,,,,,,Endoscopic retrograde cholangiopancreatography,,,
Paralysis,,,,,,,,,,"vomiting, headache, weakness of one body side, altered sensorium"
Paroxysmal Positional Vertigo,,,consult doctor,,,,,"Lie down, avoid sudden change in body, avoid abrupt head movement, relax","Age 50 and older, being woman, head injury, disorder of the balance organs of your ear",
Paroymsal Positional Vertigo,,,,,,,,,,"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness"
Peptic Ulcer,,,"lansoprazole, omeprazole, pantoprazole, proton pump inhibitors","Prilosec, Prevacid, Aciphex, Nexium Protonix",,,,"Avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol","taking NSAIDs, Smoking, H. pylori infected, alcohol consumption, untreated stress","vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching"
Peptic ulcers,,,,,,,Gastric fluid analysis,,,
Pertussis,upper respiratory tract,,,,,,,,,
Pheochromocytoma,,,,,,,Epinephrine tolerance test,,,
Phthiriasis,,,consult doctor,,,,,Do not use infected person's personal items,If in sexual contact with person with pubic lice.,
Piles,,,"lidocaine, steroid","hydrochloride, epinephrine, 0.5 mg sodium metabisulfite, 0.2 mg citric acid, 17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring",,,,"Avoid fatty spicy food, consume witch hazel, warm bath with Epsom salt, consume Aloe Vera juice",Pregnancy and older age,"constipation, pain during bowel movements, pain in anal region, bloody stool, irritation in anus"
Pleural effusion,,,,,,,Thoracentesis,,,
Pneumonia,,,", antibiotics, isoniazid, penicillin",", Penicillin 30, VK, Penicillin V, Potassium Tablets USP 250 mg",,,"Respiratory test, Thoracentesis, ",", Practice good hygiene, Don't smoke, Practice a healthy lifestyle, Avoid sick people",", Asthma, chronic obstructive pulmonary disease (COPD) or heart disease, Smoking, weakened immunity",", chills, fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum"
Poisoning,,,,,,,Toxicological examination,,,
Polio,"blood, intestines, motor, neurons, pharynx, spinal cord",,"ipv, opv, polio vaccine",,,,,Getting vaccinated,"Children younger than 5, unvaccinated individuals",
Polycythemia,,,,,,,Hematocrit,,,
Pregnancy,,,,,,,Pregnancy test,,,
Pregnancy monitoring,,,,,,,Ultrasound,,,
Psoriasis,,,steroid,"17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring",,,,"Wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths","Family history, Viral and bacterial infections, Obesity, Lesions, Smoking","skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails"
Pulmonary embolism,,,,,,,Perfusion scan,,,
Rabies,,,"oseltamivir, tamiflu",,,,,"Vaccinate dogs and cats against rabies, Do not keep wild animals as pets, Leave stray animals alone","Travelling where rabies is common, Activities that put you in contact with wild animals",
Renal blood flow,,,,,,,Phenolsulfonphthalein test,,,
Renal failure,,,,,,,Kidney function test,,,
Reproductive disorders,,,,,,,Semen analysis,,,
Reproductive system disorders,,,,,,,Gynecological examination,,,
Rheumatoid arthritis,,,,,,,Cephalin-cholesterol flocculation,,,
Rubella,,,consult doctor,,,,,"Getting vaccinated, do not contact ill person","Contact with infected patient, not vaccinated, Overcrowding, Poor immune system, Medical personnel",
Salmonella,,,"antibiotics, isoniazid",,,,,"Avoid eating raw eggs, undercooked meat, Refrigerate food properly, wash hands after contacting meat","Owning a pet bird or reptile, Inflammatory bowel disease, AIDS, Sickle cell disease, Malaria",
Scarlet fever,,,,,,,Dick test,,,
Schizophrenia,,,"abilify, aripiprazole",,,,,"Don't use street drugs, and moderate any use of alcohol, Avoid social isolation","Family history, birth complications, drugs during teen years and young adulthood",
Screening and diagnosis of various health conditions,,,,,,,Medical tests,,,
Sexually transmitted infections (STIs),,,,,,,Syphilis test,,,
Sickle cell anemia,,,consult doctor,,,,,"Take folic acid supplements daily, healthy diet. Drink plenty of water. Avoid temperature extremes",If both parents carry a sickle cell gene.,
Sleep disorders,,,,,,,Electroencephalography (EEG),,,
Smallpox,"face, forearms, hands, trunk",,"tecovirimat, tpoxx",,,,,"Getting vaccinated, do not contact ill person","Being unvaccinated, contact with person suffering from small pox",
Spinal cord compression,,,,,,,Myelography,,,
Spinal cord injuries,,,,,,,Magnetic resonance imaging (MRI),,,
Stomach ulcers,,,,,,,Esophagogastroduodenoscopy (EGD),,,
Streptococcal infections,,,,,,,Dick test,,,
Stroke,,,", alteplase",", arginine, phosphoric acid, polysorbate 80, nitrogen",,,"Cerebral angiography, Brain scanning, Cardiovascular diagnostic, ",", healthy diet, exercise regularly, and avoid smoking and drinking too much alcohol",", Obesity, Heavy drinking, Use of illegal drugs, High BP, Cigarette smoking, High cholesterol",
Substance abuse,,,,,,,"Toxicology test, Toxicological examination",,,
Swine flu,,,"analgesic, antiviral drugs","Acetaminophen, salicylates, opioid drugs, morphine, oxycodone",,,,"Get vaccinated against H1N1, wash your hands often with soap, Avoid touching your eyes,nose or mouth","Swine farmers and veterinarians, traveled to an area where many people are affected by swine flu",
Syphilis,"bones, central nervous system, eyes, genitals, heart, joints, lips, rectum, reproductive organs, skin, tongue, ","Decompressive craniectomy, Hemispherectomy, Anterior temporal lobectomy, Hypophysectomy, Amygdalohippocampectomy, Ventriculostomy, Craniotomy, Pallidotomy, Thalamotomy, Lobotomy, Bilateral cingulotomy, Cordotomy, Rhizotomy, Neurosurgery, Psychosurgery, Brain biopsy, Ganglionectomy, Hemorrhoidectomy, V-plasty, VY-plasty, W-plasty, Z-plasty, Escharotomy, Skin biopsy, ",,,,,", Syphilis test",,,
Tetanus,"blood, central nervous system, motor, muscles, nerves of spinal cord","Decompressive craniectomy, Hemispherectomy, Anterior temporal lobectomy, Hypophysectomy, Amygdalohippocampectomy, Ventriculostomy, Craniotomy, Pallidotomy, Thalamotomy, Lobotomy, Bilateral cingulotomy, Cordotomy, Rhizotomy, Neurosurgery, Psychosurgery, Brain biopsy","antibiotics, isoniazid, metronidazole, penicillin","Penicillin 30, VK, Penicillin V, Potassium Tablets USP 250 mg","Clostridium tetani bacterium, bacteria","Breathing problems, Blockage of a lung artery, pulmonary embolism, Pneumonia, Broken bones, Death",,"Control bleeding, Keep the wound clean, Use antibiotics, Cover the wound, Change the dressing","Injecting drugs, Gunshot wounds, fractures, Animal or insect bites, foot ulcers, surgical wounds",
Throat infections,,,,,,,Nasopharyngolaryngoscopy,,,
Thrombocythemia,,,consult doctor,,,,,No precaution,"High blood cholesterol, high blood pressure, diabetes, and smoking",
Thyroid,,,"levothroid, levothyroxine sodium, levoxyl, synthroid, thyrox",,,,,"Avoid smoking, drink plenty water, Eat selenium, tyrosine, and antioxidants rich food","Woman who s had menopause, Had prolonged, calcium, vitamin D deficiency, Had radiation treatment",
Thyroid disorders (such as Hyperthyroidism,,,,,,,"Protein-bound iodine test, Thyroid function test",,,
Tissue analysis,,,,,,,Biopsy,,,
Tuberculosis,"brain, kidneys, lungs, lymph nodes, skin, spine","Hypnosurgery, V-plasty, VY-plasty, W-plasty, Z-plasty, Escharotomy, Skin biopsy","antibiotics, isoniazid",,bacteria,"Spinal pain, Joint damage, meningitis, Liver or kidney problems, Heart disorders",,"cover mouth, consult doctor, medication","AIDS, Severe kidney disease, Cancer treatment, Drugs to prevent rejection of transplanted organs","chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum"
Tuberculosis infection screening,,,,,,,Tuberculin test,,,
Tuberculosis screening,,,,,,,Skin test,,,
Tumors,,,,,,,Computed tomography (CT scan),,,
Typhoid,"alimentary canal, blood, bone marrow, gallbladder, gastrointestinal tract, intestines, liver, lungs, lymph, mesenteric lymph nodes, peyers patches, spleen","Uvulopalatoplasty, Palatoplasty, Gingivectomy, Glossectomy, Esophagectomy, Gastrectomy, Appendectomy, Proctocolectomy, Colectomy, Hepatectomy, Cholecystectomy, Pancreatectomy, Pancreaticoduodenectomy, Gastrostomy, Percutaneous endoscopic gastrostomy, Gastroduodenostomy, Gastroenterostomy, Ileostomy, Jejunostomy, Colostomy, Cholecystostomy, Hepatoportoenterostomy, Sigmoidostomy, Uvulotomy, Myotomy, Heller myotomy, Pyloromyotomy, Anal sphincterotomy, Lateral internal sphincterotomy, Vertical banded gastroplasty, Gastropexy, Colon resection, Nissen fundoplication, Hernia repair, Omentopexy, Liver biopsy","chloramphenicol, penicillin","dichloro-substituted acetamide, nitrobenzene ring, amide bond, two alcohol functions, Penicillin 30, VK, Penicillin V, Potassium Tablets USP 250 mg","bacteria, Salmonella enterica serotype typhi, salmonella bacteria","Inflammation of heart muscle, myocarditis, Inflammation of valves, endocarditis, Infection of major blood vessels, mycotic aneurysm, Pneumonia, Inflammation of the pancreas, pancreatitis, Kidney or bladder infections, meningitis, Psychiatric problems, delirium, hallucinations, paranoid psychosis",,"eat high calorie vegetables, antibiotic therapy, consult doctor, medication","Work in or travel to areas where typhoid fever is established, Drink contaminated water","chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain"
Urinary Tract Infection,,,,,,,,,,"burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine"
Urinary tract abnormalities,,,,,,,Urography ,,,
Urinary tract infection,,,"antibiotics, isoniazid, penicillin","Penicillin 30, VK, Penicillin V, Potassium Tablets USP 250 mg",,,,"Drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics","Being women, Women who use diaphragms, A suppressed immune system, Kidney stones",
Urinary tract infections (UTIs),,,,,,,Urinalysis,,,
Vaginosis,,,"antibiotics, isoniazid",,,,,"Avoid over-washing, Avoid using strong detergent for underwear, Change your tampons or pads frequently","Having multiple sex partners, Natural lack of lactobacilli bacteria, Douching",
Valve disorders,,,,,,,Phonocardiography,,,
Varicose Veins,,,,,,,,,,"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf"
Varicose veins,,,consult doctor,,,,,"Lie down flat and raise the leg high, use ointments, use vein compressor, don't stand still for long","Older age, being woman, Family history, Obesity, Standing or sitting for long periods of time",
Various conditions and diseases,,,,,,,Diagnostic imaging,,,
Various parameters such as height,,,,,,,Measurement,,,
Whooping cough,,,"antibiotics, isoniazid",,,,,Getting vaccinated,"Being unvaccinated, travelling to places where whooping cough is common, contact of ill person",
Yellow fever,,,consult doctor,,,,,"Prevent mosquito bites Use insect repellent, wear protective clothing, and get vaccinated before traveling",If you travel to an area where mosquitoes continue to carry the yellow fever virus.,
Zika,"brain cells, immune system",,consult doctor,,,,,"Prevent mosquito bites, using condoms, use insect repellents, wear protective clothing while travelling","Living or traveling in countries where there have been outbreaks, Having unprotected sex",
blood pressure,,,,,,,Measurement,,,
scleroderma,,,"nifedipine, steroid","Dimethyl 1, 4-dihydro-2, 6-dimethyl-4-(o-nitrophenyl)-3, 5-pyridinedicarboxylate, 17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring",,,,"Frequently massage skin, avoid soaps that dry skin, keep skin moist by use of moisturizing lotions","Genetics, being woman, Immune system problems, Environmental triggers",
weight,,,,,,,Measurement,,,
whooping cough,upper respiratory tract,,,,,,,,,
